iter	Logloss	Accuracy	Precision	Recall	F1
227	0.3318526548	0.8482324258	0.7633802817	0.621559633	0.6852085967
228	0.3315877837	0.8484355953	0.7631086142	0.623088685	0.686026936
229	0.3313714474	0.8492482731	0.7659774436	0.623088685	0.6871838111
230	0.3310564647	0.8494514425	0.7661971831	0.623853211	0.6877370417
231	0.3309600616	0.8494514425	0.7661971831	0.623853211	0.6877370417
232	0.3306492226	0.8494514425	0.7661971831	0.623853211	0.6877370417
233	0.3303030947	0.8492482731	0.765478424	0.623853211	0.6874473463
234	0.3298567778	0.8494514425	0.7661971831	0.623853211	0.6877370417
235	0.3296608086	0.8494514425	0.7661971831	0.623853211	0.6877370417
236	0.3294975844	0.8494514425	0.7661971831	0.623853211	0.6877370417
237	0.3292310775	0.8494514425	0.7661971831	0.623853211	0.6877370417
238	0.3289842142	0.8498577814	0.7671361502	0.624617737	0.6885798567
239	0.3285946111	0.8500609508	0.7678571429	0.624617737	0.6888701518
240	0.3284662065	0.8500609508	0.7678571429	0.624617737	0.6888701518
241	0.3282131262	0.8498577814	0.7671361502	0.624617737	0.6885798567
242	0.3278928163	0.8502641203	0.7680751174	0.625382263	0.6894226717
243	0.3275925956	0.8504672897	0.7682926829	0.626146789	0.6899747262
244	0.3272277404	0.8506704592	0.7690140845	0.626146789	0.6902654867
245	0.326944218	0.8508736286	0.7692307692	0.626911315	0.6908171862
246	0.3265302455	0.851076798	0.7699530516	0.626911315	0.6911083017
247	0.3261783857	0.8514831369	0.7703842549	0.628440367	0.6922105263
248	0.3257496305	0.8512799675	0.7696629213	0.628440367	0.6919191919
249	0.3255272347	0.8516863064	0.7711069418	0.628440367	0.6925021061
250	0.325441327	0.8516863064	0.7711069418	0.628440367	0.6925021061
251	0.3251912915	0.8518894758	0.7718309859	0.628440367	0.6927939317
252	0.3250447564	0.8518894758	0.7718309859	0.628440367	0.6927939317
253	0.324936246	0.8520926453	0.7720450281	0.629204893	0.6933445661
254	0.3247858712	0.8522958147	0.7722586692	0.629969419	0.6938947368
255	0.3244718281	0.8522958147	0.7717492984	0.630733945	0.6941522928
256	0.3242224324	0.8524989842	0.7724719101	0.630733945	0.6944444444
257	0.3239546698	0.8524989842	0.7724719101	0.630733945	0.6944444444
258	0.3236379648	0.8527021536	0.7726847521	0.6314984709	0.6949936895
259	0.3235098483	0.852905323	0.7728971963	0.6322629969	0.6955424727
260	0.3232274537	0.8533116619	0.7738317757	0.6330275229	0.6963835156
261	0.3229248637	0.8535148314	0.7740429505	0.6337920489	0.6969314838
262	0.3227290612	0.8535148314	0.7740429505	0.6337920489	0.6969314838
263	0.3223854193	0.8543275091	0.7764265669	0.6345565749	0.6983592764
264	0.3221283287	0.8539211703	0.7760074977	0.6330275229	0.6972631579
265	0.3218038722	0.8543275091	0.7764265669	0.6345565749	0.6983592764
266	0.3215535398	0.8543275091	0.7769447048	0.6337920489	0.6981052632
267	0.321272899	0.8543275091	0.7774647887	0.6330275229	0.6978508217
268	0.3208618892	0.854733848	0.7778819119	0.6345565749	0.6989473684
269	0.3205272549	0.8551401869	0.779342723	0.6345565749	0.6995364517
270	0.3203386531	0.8551401869	0.779342723	0.6345565749	0.6995364517
271	0.3199715344	0.8553433564	0.780075188	0.6345565749	0.6998313659
272	0.3198678465	0.8553433564	0.780075188	0.6345565749	0.6998313659
273	0.3196513919	0.8553433564	0.7795497186	0.6353211009	0.700084246
274	0.3192373328	0.8557496952	0.7815442561	0.6345565749	0.7004219409
275	0.3189297909	0.8561560341	0.7830188679	0.6345565749	0.7010135135
276	0.3186961067	0.8567655425	0.7836312324	0.6368501529	0.7026571067
277	0.318314122	0.856562373	0.7834274953	0.6360856269	0.7021097046
278	0.3181307019	0.856562373	0.7834274953	0.6360856269	0.7021097046
279	0.3176897289	0.8571718813	0.7845719661	0.6376146789	0.7035006326
280	0.3175159924	0.8567655425	0.7836312324	0.6368501529	0.7026571067
281	0.3173135917	0.8571718813	0.7845719661	0.6376146789	0.7035006326
282	0.3171386521	0.8573750508	0.7847744361	0.6383792049	0.7040472175
283	0.3168883732	0.8579845591	0.785915493	0.6399082569	0.7054361568
284	0.3168059958	0.8573750508	0.7837078652	0.6399082569	0.7045454545
285	0.3165003058	0.8573750508	0.7831775701	0.6406727829	0.7047939445
286	0.3163177589	0.8579845591	0.7843137255	0.6422018349	0.7061790668
287	0.3161515787	0.8581877286	0.7845149254	0.6429663609	0.7067226891
288	0.3158855958	0.858390898	0.7852474323	0.6429663609	0.7070197562
289	0.3155247461	0.858390898	0.7852474323	0.6429663609	0.7070197562
290	0.3152573517	0.858390898	0.7852474323	0.6429663609	0.7070197562
291	0.3150357266	0.858390898	0.7852474323	0.6429663609	0.7070197562
292	0.3148662972	0.8590004063	0.7869158879	0.6437308869	0.7081581161
293	0.3143889039	0.8585940675	0.7859813084	0.6429663609	0.7073170732
294	0.3140870114	0.8592035758	0.7876520112	0.6437308869	0.708456037
295	0.3138728805	0.8594067452	0.7878504673	0.6444954128	0.708999159
296	0.313440841	0.8592035758	0.7887323944	0.6422018349	0.7079646018
297	0.3132466136	0.8590004063	0.7885338346	0.6414373089	0.7074198988
298	0.3129803409	0.8594067452	0.7894736842	0.6422018349	0.7082630691
299	0.3128209695	0.8592035758	0.789275635	0.6414373089	0.7077182623
300	0.312642458	0.8592035758	0.789275635	0.6414373089	0.7077182623
301	0.3124547019	0.8594067452	0.7900188324	0.6414373089	0.7080168776
302	0.3120879216	0.8594067452	0.7905660377	0.6406727829	0.7077702703
303	0.3118402709	0.8594067452	0.7905660377	0.6406727829	0.7077702703
304	0.3115296198	0.8594067452	0.7905660377	0.6406727829	0.7077702703
305	0.311367395	0.8592035758	0.7898209237	0.6406727829	0.707471507
306	0.3110930477	0.8596099147	0.791312559	0.6406727829	0.708069286
307	0.3108085426	0.8596099147	0.791312559	0.6406727829	0.708069286
